region_code,order_date,daily_revenue,running_total
WEST,2026-03-01,41371.54,18828851.21
WEST,2026-03-04,167798.44,18996649.64
WEST,2026-03-09,96428.53,19093078.17
WEST,2026-03-11,701318.05,19794396.22
WEST,2026-03-13,239288.73,20033684.95
WEST,2026-03-15,78913.23,20112598.18
WEST,2026-03-16,508508.42,20621106.6
WEST,2026-03-17,329111.74,20950218.34
WEST,2026-03-18,22730.96,20972949.3
WEST,2026-03-19,74309.26,21047258.56
WEST,2026-03-20,38425.83,21085684.38
WEST,2026-03-22,388548.85,21474233.24
WEST,2026-03-23,316821.07,21791054.3
WEST,2026-03-24,397609.2,22188663.5
WEST,2026-03-26,539472.79,22728136.29
WEST,2026-03-30,189370.82,22917507.11
WEST,2026-04-01,61284.92,22978792.03
WEST,2026-04-03,231530.8,23210322.82
WEST,2026-04-06,98985.66,23309308.48
WEST,2026-04-07,146714.14,23456022.62
WEST,2026-04-09,123404.12,23579426.74
WEST,2026-04-10,328153.04,23907579.79
WEST,2026-04-16,423239.77,24330819.55
WEST,2026-04-17,18964.31,24349783.86
WEST,2026-04-18,141445.54,24491229.4
WEST,2026-04-20,12659.47,24503888.86
WEST,2026-04-22,504360.33,25008249.2
WEST,2026-04-23,155198.78,25163447.97
WEST,2026-04-25,225300.65,25388748.63
WEST,2026-04-26,104652.68,25493401.31
WEST,2026-04-27,15009.11,25508410.42
WEST,2026-05-01,44295.08,25552705.5
WEST,2026-05-03,205730.52,25758436.03
WEST,2026-05-04,258253.35,26016689.37
WEST,2026-05-07,278662.12,26295351.49
WEST,2026-05-08,34062.33,26329413.82
WEST,2026-05-09,368636.28,26698050.1
WEST,2026-05-10,148169.78,26846219.88
WEST,2026-05-11,35366.69,26881586.57
WEST,2026-05-12,148483.54,27030070.11
WEST,2026-05-13,247238.76,27277308.87
WEST,2026-05-16,151047.08,27428355.95
WEST,2026-05-17,745.15,27429101.09
WEST,2026-05-19,62937.0,27492038.09
WEST,2026-05-21,48506.44,27540544.53
WEST,2026-05-22,48087.87,27588632.39
WEST,2026-05-23,311987.03,27900619.42
WEST,2026-05-24,9978.16,27910597.58
WEST,2026-05-26,177452.45,28088050.02
WEST,2026-05-28,6861.16,28094911.18
WEST,2026-05-29,218798.42,28313709.6
WEST,2026-05-30,336701.4,28650411.0
WEST,2026-05-31,5947.6,28656358.6
WEST,2026-06-02,277909.35,28934267.95
WEST,2026-06-03,244863.17,29179131.12
WEST,2026-06-04,437876.32,29617007.44
WEST,2026-06-06,250546.16,29867553.6
WEST,2026-06-07,15329.44,29882883.04
WEST,2026-06-08,4475.3,29887358.35
WEST,2026-06-10,28802.07,29916160.41
WEST,2026-06-11,20967.43,29937127.85
WEST,2026-06-12,40992.76,29978120.61
WEST,2026-06-18,319335.85,30297456.46
WEST,2026-06-19,260865.53,30558322.0
WEST,2026-06-20,215287.42,30773609.41
WEST,2026-06-21,181808.16,30955417.57
WEST,2026-06-24,20604.86,30976022.44
WEST,2026-06-25,28745.06,31004767.5
